a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
zero,zero,2,one,22,zero,zero,one,zero,zero,49,one,32,zero
zero,one,1,zero,42,zero,zero,one,zero,zero,49,one,46,one
one,one,2,one,37,zero,zero,one,zero,three,39,one,47,one
zero,zero,1,zero,46,one,zero,one,zero,zero,39,one,40,zero
zero,zero,6,zero,8,one,zero,zero,zero,one,71,one,17,zero
zero,zero,0,zero,21,one,zero,zero,zero,zero,59,one,31,zero
one,zero,1,zero,8,zero,zero,zero,zero,two,45,one,18,zero
zero,one,4,three,18,zero,zero,one,zero,one,59,one,10,zero
one,one,3,two,38,zero,zero,one,zero,zero,49,one,48,one
one,zero,0,zero,17,zero,zero,zero,zero,zero,55,one,19,zero
zero,zero,4,three,34,zero,zero,one,zero,one,47,one,20,zero
zero,zero,3,zero,19,zero,zero,one,zero,zero,47,one,29,zero
one,one,1,zero,16,zero,zero,one,zero,zero,47,one,26,one
zero,one,9,zero,17,one,zero,zero,zero,two,39,one,1,zero
one,zero,2,zero,9,zero,zero,zero,zero,zero,83,one,2,zero
one,one,1,zero,18,zero,zero,one,zero,zero,47,one,28,zero
one,zero,6,zero,11,zero,zero,zero,zero,zero,39,one,21,zero
one,zero,3,two,16,zero,zero,one,zero,zero,47,one,26,zero
one,zero,2,two,32,one,one,zero,zero,two,43,one,42,zero
zero,zero,2,one,24,zero,zero,one,zero,zero,53,one,3,zero
one,zero,3,two,38,zero,zero,one,zero,three,59,one,48,one
zero,one,4,two,25,zero,zero,one,zero,two,41,one,10,zero
zero,zero,3,two,65,zero,zero,one,zero,zero,39,one,45,zero
zero,zero,3,one,18,one,one,zero,zero,zero,39,one,18,zero
one,zero,3,zero,27,zero,zero,zero,zero,one,47,one,15,zero
zero,zero,6,four,57,zero,zero,one,zero,zero,39,one,67,zero
one,zero,3,two,29,one,zero,one,zero,two,47,one,13,zero
zero,one,3,zero,16,one,one,zero,zero,one,39,one,6,zero
zero,zero,5,zero,12,one,zero,zero,zero,zero,41,one,22,zero
zero,zero,3,two,30,zero,zero,one,zero,two,39,one,40,one
zero,one,4,three,30,zero,zero,one,zero,two,59,one,40,one
zero,one,2,one,44,zero,zero,one,zero,two,63,one,28,one
one,one,0,zero,16,zero,zero,zero,zero,three,54,one,26,one
one,zero,3,two,27,one,zero,one,zero,zero,47,one,37,zero
zero,one,2,one,36,zero,zero,one,zero,two,59,one,26,zero
zero,one,5,zero,7,zero,zero,zero,zero,one,39,one,17,zero
zero,zero,1,zero,43,one,zero,one,zero,zero,39,one,12,zero
zero,one,3,two,28,zero,zero,one,zero,one,89,zero,31,one
zero,zero,3,two,44,zero,zero,one,zero,zero,39,one,54,one
zero,zero,2,one,43,one,zero,one,zero,two,39,one,30,zero
zero,one,6,three,39,zero,zero,one,zero,zero,47,one,40,one
zero,zero,2,two,25,one,one,zero,zero,one,47,one,35,zero
zero,one,3,two,14,one,zero,one,zero,one,14,one,24,zero
zero,one,0,zero,6,one,zero,zero,zero,one,47,one,0,zero
one,zero,3,zero,34,zero,zero,zero,zero,zero,97,one,22,zero
one,zero,5,four,18,one,zero,one,zero,one,35,one,20,zero
zero,two,9,zero,9,zero,zero,zero,zero,two,29,one,5,zero
zero,zero,2,one,13,zero,zero,one,zero,zero,55,one,23,zero
zero,two,4,three,46,zero,zero,one,zero,three,3,one,56,one
zero,zero,2,zero,8,zero,zero,zero,zero,one,5,one,18,zero
zero,two,4,three,32,zero,zero,one,zero,three,59,one,42,one
zero,zero,2,zero,17,zero,zero,zero,zero,one,47,one,20,zero
zero,one,7,zero,11,zero,zero,zero,zero,two,23,one,12,zero
one,zero,2,one,17,one,one,zero,zero,one,47,one,2,zero
one,zero,5,two,51,zero,zero,one,zero,zero,29,one,3,zero
one,zero,2,one,36,one,zero,one,zero,one,49,one,30,zero
one,one,3,two,31,zero,zero,one,zero,two,59,one,1,one
zero,one,1,zero,37,zero,zero,one,zero,two,49,one,13,one
one,zero,3,one,58,zero,zero,one,zero,zero,78,one,14,zero
zero,zero,2,one,33,zero,zero,one,zero,zero,39,one,41,zero
zero,zero,4,zero,8,zero,zero,zero,zero,one,9,one,18,zero
zero,zero,2,one,12,zero,zero,one,zero,zero,24,one,22,zero
zero,zero,2,one,17,one,zero,one,zero,one,43,one,8,zero
zero,one,3,two,33,zero,zero,one,zero,one,48,one,9,one
one,zero,1,zero,52,zero,zero,one,zero,zero,49,one,40,zero
one,zero,3,two,28,zero,zero,one,zero,one,55,one,38,zero
zero,one,4,three,41,zero,zero,one,zero,zero,71,one,51,zero
one,zero,5,four,23,zero,zero,one,zero,zero,39,one,10,zero
zero,zero,3,two,35,zero,zero,one,zero,zero,39,one,16,zero
zero,one,1,zero,52,zero,one,zero,zero,three,59,one,62,one
zero,zero,3,three,30,one,one,zero,zero,one,39,one,40,zero
zero,one,3,two,45,zero,zero,one,zero,one,55,one,55,one
one,one,0,zero,26,zero,zero,zero,zero,three,59,one,1,one
zero,one,3,two,46,zero,zero,one,zero,three,39,one,12,one
one,zero,6,zero,10,one,zero,zero,zero,zero,47,one,20,zero
zero,zero,4,one,47,one,zero,one,zero,zero,47,one,57,zero
zero,one,3,two,24,zero,zero,one,zero,one,47,one,19,zero
zero,one,1,zero,44,zero,zero,one,zero,two,39,one,54,one
zero,zero,2,one,11,zero,zero,one,zero,one,39,one,12,zero
one,zero,4,zero,16,zero,zero,zero,zero,zero,47,one,1,zero
zero,zero,2,zero,8,zero,zero,zero,zero,one,59,one,18,zero
zero,zero,7,zero,7,zero,zero,zero,zero,one,34,one,17,zero
one,zero,3,zero,13,zero,zero,zero,zero,zero,49,one,23,zero
one,zero,2,two,14,one,one,zero,zero,zero,39,one,10,zero
one,zero,1,zero,15,zero,zero,one,zero,zero,55,one,25,zero
one,one,3,two,21,zero,zero,one,zero,one,54,one,27,one
zero,zero,3,one,30,one,zero,one,zero,zero,94,one,40,one
zero,one,7,zero,15,zero,zero,zero,zero,one,47,one,24,zero
one,one,3,two,18,zero,zero,one,zero,zero,47,one,4,zero
one,zero,3,two,17,one,zero,one,zero,zero,39,one,27,zero
one,one,0,zero,47,one,one,zero,zero,three,39,one,4,one
zero,one,3,two,26,one,zero,one,zero,one,39,one,30,zero
zero,one,3,two,47,zero,zero,one,zero,zero,39,one,30,zero
zero,zero,8,eight,42,one,zero,zero,zero,zero,39,one,5,zero
one,zero,5,four,29,one,zero,one,zero,one,55,one,3,one
zero,zero,1,zero,16,zero,zero,zero,zero,zero,47,one,26,zero
zero,zero,1,zero,52,zero,zero,one,zero,zero,47,one,38,zero
zero,zero,3,two,28,one,zero,one,zero,two,39,one,38,one
one,zero,1,one,70,one,one,zero,zero,zero,19,zero,80,zero
zero,zero,2,two,22,one,zero,zero,zero,one,39,one,20,zero
zero,zero,7,two,32,one,zero,zero,zero,one,43,one,30,zero
one,two,3,two,38,one,zero,one,zero,two,43,one,44,zero
zero,zero,2,one,45,zero,zero,one,zero,two,39,one,16,one
zero,zero,3,zero,24,one,zero,zero,zero,two,39,one,14,zero
zero,zero,6,zero,39,one,zero,zero,zero,two,9,one,49,zero
zero,one,5,three,24,zero,zero,one,zero,one,47,one,5,one
zero,one,2,one,29,zero,zero,one,zero,one,29,one,39,one
zero,one,2,one,32,one,zero,one,zero,zero,69,one,17,zero
zero,zero,2,zero,40,one,one,zero,zero,zero,39,one,50,zero
zero,zero,4,three,55,one,zero,one,zero,zero,14,zero,65,zero
zero,two,4,three,31,zero,zero,one,zero,two,77,one,35,one
one,zero,4,three,19,one,zero,one,zero,zero,29,one,2,zero
one,zero,1,zero,12,zero,zero,one,zero,one,65,one,22,zero
zero,zero,5,zero,8,zero,zero,zero,zero,zero,71,one,18,zero
one,zero,4,three,35,zero,zero,one,zero,one,64,one,45,zero
zero,one,2,two,44,zero,one,zero,zero,zero,44,one,54,zero
one,one,3,two,19,one,zero,one,zero,three,22,one,29,one
zero,two,4,zero,12,zero,zero,zero,zero,two,44,one,22,zero
zero,four,5,zero,18,zero,zero,zero,zero,three,63,one,12,one
zero,zero,5,two,48,zero,zero,one,zero,zero,39,one,21,zero
zero,zero,2,one,15,one,zero,one,zero,two,43,one,13,zero
zero,zero,3,two,37,zero,zero,one,zero,zero,59,one,47,zero
zero,one,11,nine,37,one,zero,one,zero,zero,29,one,12,zero
zero,zero,2,one,14,zero,zero,one,zero,one,47,one,0,zero
zero,zero,3,two,22,one,zero,one,zero,one,3,one,32,zero
one,zero,3,one,12,one,zero,one,zero,zero,47,one,21,zero
zero,one,4,zero,44,one,zero,zero,zero,zero,39,one,54,one
one,one,3,two,36,one,zero,one,zero,zero,17,one,30,zero
zero,zero,4,three,18,zero,zero,one,zero,two,39,one,8,zero
zero,zero,2,one,27,zero,zero,one,zero,zero,43,one,35,zero
one,zero,2,zero,12,one,zero,zero,zero,two,29,one,21,one
zero,zero,3,two,36,zero,zero,one,zero,zero,39,one,15,zero
zero,two,2,one,21,one,zero,one,zero,three,53,one,31,one
zero,zero,3,two,30,zero,zero,one,zero,one,9,one,40,one
one,one,2,one,23,one,zero,one,zero,two,24,one,33,zero
zero,zero,2,one,19,zero,zero,one,zero,zero,47,one,27,zero
zero,one,3,two,31,zero,zero,one,zero,one,69,one,41,zero
