Gender,AreaCode,City,State,Zip,MaritalStatus,HasChild,Salary,Rate,SingleExemp,MarriedExemp,ChildExemp
F,ac701,ROSS,ND,zip58776,S,Y,30000,2.1034775000000003,3300,0,3300
M,ac802,BURLINGTON,VT,zip5401,M,Y,60000,4.1988535,0,6600,3300
F,ac801,CORNISH,UT,zip84308,M,Y,25000,7.0,0,4950,2475
M,ac419,CLEVELAND,OH,zip44111,S,Y,20000,1.2099231,1300,0,1300
F,ac417,REPUBLIC,MO,zip65738,S,Y,40000,6.0,2100,0,1200
F,ac347,NEW_YORK,NY,zip10268,S,Y,100000,4.5329266,0,0,1000
F,ac731,FLINTVILLE,TN,zip37335,S,N,5000,0.0,0,0,0
F,ac808,MOUNTAIN_VIEW,HI,zip96771,S,N,75000,8.25,1040,0,0
F,ac980,POTECASI,NC,zip27867,S,Y,100000,7.8304195,3300,0,3300
M,ac402,BELVIDERE,NE,zip68315,M,Y,60000,6.84,0,206,103
F,ac303,CARR,CO,zip80612,S,N,15000,4.63,0,0,0
F,ac907,KASILOF,AK,zip99610,S,N,70000,0.0,0,0,0
F,ac808,NAALEHU,HI,zip96772,M,Y,35000,7.348684299999999,0,2080,1040
M,ac870,ALTUS,AR,zip72821,S,N,100000,7.0,20,0,0
F,ac443,WEST_RIVER,MD,zip20778,S,N,95000,4.75,2400,0,0
F,ac939,MANATI,PR,zip674,S,Y,10000,0.0,0,0,0
F,ac818,FELLOWS,CA,zip93224,M,N,35000,7.7709284,0,174,0
F,ac603,BARNSTEAD,NH,zip3218,S,N,35000,0.0,0,0,0
F,ac517,HOWELL,MI,zip48863,S,Y,5000,3.9,3100,0,3100
F,ac651,ANGLE_INLET,MN,zip56711,S,Y,40000,6.3900213,3300,0,3300
M,ac302,NEWARK,DE,zip19725,M,Y,15000,2.8818183,0,220,110
M,ac551,STONE_HARBOR,NJ,zip8247,M,Y,15000,1.4,0,2000,1500
M,ac907,ANCHORAGE,AK,zip99510,M,Y,55000,0.0,0,0,0
F,ac856,SHREWSBURY,NJ,zip7702,M,N,45000,1.7942707999999998,0,2000,0
M,ac479,CALDWELL,AR,zip72322,M,Y,35000,7.0,0,40,20
F,ac501,PINEVILLE,AR,zip72566,M,Y,90000,7.0,0,40,20
F,ac878,ALTOONA,PA,zip16601,M,Y,60000,3.07,0,0,0
M,ac719,FORT_LUPTON,CO,zip80621,M,N,95000,4.63,0,0,0
F,ac205,EUFAULA,AL,zip36027,S,Y,10000,5.0,1500,0,300
F,ac307,CLEARMONT,WY,zip82835,M,Y,60000,0.0,0,0,0
M,ac208,MERIDIAN,ID,zip83646,M,N,50000,7.8,0,6600,0
F,ac219,BIPPUS,IN,zip46713,S,N,40000,3.4,1000,0,0
F,ac315,DEER_PARK,NY,zip11729,M,N,55000,4.272256,0,0,0
M,ac580,WARNER,OK,zip74469,M,N,50000,6.25,0,2000,0
F,ac919,WINSTON_SALEM,NC,zip27157,S,Y,75000,7.305944,3300,0,3300
F,ac605,KAYLOR,SD,zip57354,S,Y,60000,0.0,0,0,0
