AreaCode,State
ac701,ND
ac802,VT
ac801,UT
ac419,OH
ac417,MO
ac347,NY
ac731,TN
ac808,HI
ac980,NC
ac402,NE
ac303,CO
ac907,AK
ac808,HI
ac870,AR
ac443,MD
ac939,PR
ac818,CA
ac603,NH
ac517,MI
ac651,MN
ac302,DE
ac551,NJ
ac907,AK
ac856,NJ
ac479,AR
ac501,AR
ac878,PA
ac719,CO
ac205,AL
ac307,WY
ac208,ID
ac219,IN
ac315,NY
ac580,OK
ac919,NC
ac605,SD
ac856,NJ
ac479,AR
ac803,SC
ac769,MS
ac406,MT
ac434,VA
ac408,CA
ac443,MD
ac208,ID
ac808,HI
ac478,GA
ac337,LA
ac865,TN
ac618,IL
ac505,NM
ac843,SC
ac870,AR
ac256,AL
ac910,NC
ac209,CA
ac309,IL
ac307,WY
ac202,DC
ac205,AL
ac920,WI
ac857,MA
ac216,OH
ac765,IN
ac781,MA
ac715,WI
ac708,IL
ac201,NJ
ac307,WY
ac312,IL
ac605,SD
ac443,MD
ac401,RI
ac207,ME
ac864,SC
ac719,CO
ac435,UT
ac870,AR
ac318,LA
ac937,OH
ac973,NJ
ac828,NC
ac347,NY
ac308,NE
ac325,TX
ac505,NM
ac605,SD
ac308,NE
ac920,WI
ac605,SD
ac605,SD
ac812,IN
ac701,ND
ac970,CO
ac301,MD
ac321,FL
ac317,IN
ac512,TX
ac480,AZ
ac208,ID
ac718,NY
ac774,MA
ac769,MS
ac504,LA
ac401,RI
ac307,WY
ac561,FL
ac707,CA
ac571,VA
ac770,GA
ac605,SD
ac712,IA
ac978,MA
ac662,MS
ac602,AZ
ac928,AZ
ac605,SD
ac401,RI
ac913,KS
ac276,VA
ac386,FL
ac479,AR
ac610,PA
ac505,NM
ac205,AL
ac551,NJ
ac678,GA
ac843,SC
ac856,NJ
ac509,WA
ac205,AL
ac787,PR
ac808,HI
ac336,NC
ac775,NV
ac270,KY
ac573,MO
ac803,SC
ac203,CT
ac435,UT
ac563,IA
ac580,OK
ac774,MA
ac336,NC
ac954,FL
ac207,ME
ac601,MS
ac707,CA
ac859,KY
ac559,CA
ac302,DE
ac939,PR
ac406,MT
ac479,AR
ac302,DE
ac931,TN
ac802,VT
ac207,ME
ac845,NY
ac202,DC
ac719,CO
ac815,IL
ac662,MS
ac785,KS
ac718,NY
ac205,AL
ac612,MN
ac626,CA
ac217,IL
ac703,VA
ac308,NE
ac505,NM
ac662,MS
ac207,ME
ac304,WV
ac351,MA
ac208,ID
ac360,WA
ac808,HI
ac270,KY
ac202,DC
ac405,OK
ac641,IA
ac276,VA
ac618,IL
ac651,MN
ac402,NE
ac402,NE
ac520,AZ
ac504,LA
ac404,GA
ac307,WY
ac307,WY
ac864,SC
ac251,AL
ac701,ND
ac505,NM
ac567,OH
ac614,OH
ac228,MS
ac314,MO
ac808,HI
ac605,SD
ac262,WI
ac502,KY
ac302,DE
ac440,OH
ac606,KY
ac412,PA
ac605,SD
ac580,OK
ac913,KS
ac775,NV
ac417,MO
ac702,NV
ac228,MS
ac603,NH
ac901,TN
ac775,NV
ac607,NY
ac413,MA
ac717,PA
ac515,IA
ac504,LA
ac207,ME
ac360,WA
ac808,HI
ac302,DE
ac435,UT
ac207,ME
ac240,MD
ac505,NM
ac787,PR
ac808,HI
ac775,NV
ac712,IA
ac336,NC
ac810,MI
ac406,MT
ac228,MS
ac870,AR
ac731,TN
ac510,CA
ac330,OH
ac316,KS
ac636,MO
ac971,OR
ac505,NM
ac603,NH
ac307,WY
ac402,NE
ac215,PA
ac765,IN
ac503,OR
ac251,AL
ac302,DE
ac262,WI
ac319,IA
ac201,NJ
ac307,WY
ac316,KS
ac804,VA
ac734,MI
ac712,IA
ac312,IL
ac318,LA
ac702,NV
ac870,AR
ac435,UT
ac503,OR
ac603,NH
ac320,MN
ac501,AR
ac848,NJ
ac731,TN
ac701,ND
ac612,MN
ac907,AK
ac430,TX
ac620,KS
ac931,TN
ac980,NC
ac907,AK
ac704,NC
ac501,AR
ac918,OK
ac406,MT
ac941,FL
ac775,NV
ac205,AL
ac202,DC
ac775,NV
ac515,IA
ac606,KY
ac802,VT
ac425,WA
ac615,TN
ac207,ME
ac316,KS
ac860,CT
ac413,MA
ac307,WY
ac857,MA
ac540,VA
ac425,WA
ac615,TN
ac660,MO
ac727,FL
ac304,WV
ac256,AL
ac605,SD
ac208,ID
ac620,KS
ac318,LA
