c_custkey,c_nationkey,c_acctbal,c_mktsegment,n_name,n_regionkey,o_orderpriority,o_totalprice,o_orderstatus
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,2-HIGH,145328.45,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,1-URGENT,166540.8,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,3-MEDIUM,82212.94,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,3-MEDIUM,118306.28,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,2-HIGH,66216.28,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,5-LOW,171603.11,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,4-NOTSPECIFIED,102604.55,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,4-NOTSPECIFIED,143840.89,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,5-LOW,170960.07,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,5-LOW,32206.34,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,4-NOTSPECIFIED,70328.15,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,4-NOTSPECIFIED,182835.69,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,2-HIGH,311493.19,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,1-URGENT,146622.59,F
custkey_25360,nationkey_21,5835.28,HOUSEHOLD,VIETNAM,regionkey_2,5-LOW,100660.27,F
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,1-URGENT,316816.9,P
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,3-MEDIUM,210337.64,F
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,5-LOW,23492.64,F
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,2-HIGH,118459.69,O
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,2-HIGH,51738.69,F
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,4-NOTSPECIFIED,237960.32,P
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,1-URGENT,215203.99,F
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,4-NOTSPECIFIED,106403.98,O
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,5-LOW,220075.42,F
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,1-URGENT,174477.33,O
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,4-NOTSPECIFIED,146472.1,F
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,4-NOTSPECIFIED,232902.66,O
custkey_141704,nationkey_18,2593.45,FURNITURE,CHINA,regionkey_2,4-NOTSPECIFIED,77820.46,F
custkey_49169,nationkey_0,223.87,MACHINERY,ALGERIA,regionkey_0,4-NOTSPECIFIED,234786.11,F
custkey_49169,nationkey_0,223.87,MACHINERY,ALGERIA,regionkey_0,1-URGENT,48857.38,F
custkey_49169,nationkey_0,223.87,MACHINERY,ALGERIA,regionkey_0,5-LOW,148307.47,F
custkey_49169,nationkey_0,223.87,MACHINERY,ALGERIA,regionkey_0,4-NOTSPECIFIED,180723.7,F
custkey_49169,nationkey_0,223.87,MACHINERY,ALGERIA,regionkey_0,3-MEDIUM,29787.17,F
custkey_49169,nationkey_0,223.87,MACHINERY,ALGERIA,regionkey_0,1-URGENT,397825.58,F
custkey_49169,nationkey_0,223.87,MACHINERY,ALGERIA,regionkey_0,5-LOW,151868.25,F
custkey_49169,nationkey_0,223.87,MACHINERY,ALGERIA,regionkey_0,4-NOTSPECIFIED,207150.81,F
custkey_132938,nationkey_22,6498.55,AUTOMOBILE,RUSSIA,regionkey_3,5-LOW,168933.55,F
custkey_132938,nationkey_22,6498.55,AUTOMOBILE,RUSSIA,regionkey_3,4-NOTSPECIFIED,233443.2,F
custkey_132938,nationkey_22,6498.55,AUTOMOBILE,RUSSIA,regionkey_3,4-NOTSPECIFIED,161186.59,F
custkey_132938,nationkey_22,6498.55,AUTOMOBILE,RUSSIA,regionkey_3,3-MEDIUM,237559.8,F
custkey_132938,nationkey_22,6498.55,AUTOMOBILE,RUSSIA,regionkey_3,4-NOTSPECIFIED,68319.5,F
custkey_132938,nationkey_22,6498.55,AUTOMOBILE,RUSSIA,regionkey_3,4-NOTSPECIFIED,225458.88,F
custkey_132938,nationkey_22,6498.55,AUTOMOBILE,RUSSIA,regionkey_3,2-HIGH,34855.36,F
custkey_132938,nationkey_22,6498.55,AUTOMOBILE,RUSSIA,regionkey_3,5-LOW,285674.55,F
custkey_132938,nationkey_22,6498.55,AUTOMOBILE,RUSSIA,regionkey_3,1-URGENT,122412.97,F
custkey_132938,nationkey_22,6498.55,AUTOMOBILE,RUSSIA,regionkey_3,2-HIGH,335253.44,F
custkey_132938,nationkey_22,6498.55,AUTOMOBILE,RUSSIA,regionkey_3,5-LOW,104982.69,F
