c_custkey,c_nationkey,c_mktsegment,n_name,n_regionkey,o_orderpriority,o_orderstatus
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,2-HIGH,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,1-URGENT,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,3-MEDIUM,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,3-MEDIUM,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,2-HIGH,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,5-LOW,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,4-NOTSPECIFIED,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,4-NOTSPECIFIED,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,5-LOW,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,5-LOW,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,4-NOTSPECIFIED,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,4-NOTSPECIFIED,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,2-HIGH,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,1-URGENT,F
custkey_25360,nationkey_21,HOUSEHOLD,VIETNAM,regionkey_2,5-LOW,F
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,1-URGENT,P
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,3-MEDIUM,F
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,5-LOW,F
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,2-HIGH,O
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,2-HIGH,F
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,4-NOTSPECIFIED,P
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,1-URGENT,F
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,4-NOTSPECIFIED,O
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,5-LOW,F
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,1-URGENT,O
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,4-NOTSPECIFIED,F
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,4-NOTSPECIFIED,O
custkey_141704,nationkey_18,FURNITURE,CHINA,regionkey_2,4-NOTSPECIFIED,F
custkey_49169,nationkey_0,MACHINERY,ALGERIA,regionkey_0,4-NOTSPECIFIED,F
custkey_49169,nationkey_0,MACHINERY,ALGERIA,regionkey_0,1-URGENT,F
custkey_49169,nationkey_0,MACHINERY,ALGERIA,regionkey_0,5-LOW,F
custkey_49169,nationkey_0,MACHINERY,ALGERIA,regionkey_0,4-NOTSPECIFIED,F
