c_acctbal,o_totalprice
5835.28,145328.45
5835.28,166540.8
5835.28,82212.94
5835.28,118306.28
5835.28,66216.28
5835.28,171603.11
5835.28,102604.55
5835.28,143840.89
5835.28,170960.07
5835.28,32206.34
5835.28,70328.15
5835.28,182835.69
5835.28,311493.19
5835.28,146622.59
5835.28,100660.27
2593.45,316816.9
2593.45,210337.64
2593.45,23492.64
2593.45,118459.69
2593.45,51738.69
2593.45,237960.32
2593.45,215203.99
2593.45,106403.98
2593.45,220075.42
2593.45,174477.33
2593.45,146472.1
2593.45,232902.66
2593.45,77820.46
223.87,234786.11
223.87,48857.38
223.87,148307.47
223.87,180723.7
223.87,29787.17
223.87,397825.58
223.87,151868.25
223.87,207150.81
6498.55,168933.55
6498.55,233443.2
6498.55,161186.59
6498.55,237559.8
6498.55,68319.5
6498.55,225458.88
6498.55,34855.36
6498.55,285674.55
6498.55,122412.97
6498.55,335253.44
6498.55,104982.69
6498.55,208887.16
6498.55,67772.78
6498.55,179065.35
6498.55,129989.34
6498.55,67134.0
6498.55,235696.54
6498.55,156727.95
6498.55,197318.5
6498.55,226416.66
6498.55,51018.11
6498.55,35783.34
6498.55,353068.16
6498.55,172064.0
6498.55,31118.52
4177.65,203518.96
4177.65,20231.63
4177.65,172754.12
4177.65,248900.82
4177.65,21117.35
4177.65,244572.77
4177.65,158408.67
4177.65,211041.64
4177.65,126659.57
4177.65,104636.82
4177.65,199210.08
4177.65,316441.59
4177.65,205483.42
4177.65,124480.35
4177.65,107202.41
4177.65,214336.33
4177.65,109477.22
1.45,82532.21
1.45,198143.35
1.45,231307.65
1.45,120689.21
1.45,84371.26
1.45,171348.62
1.45,290272.63
1.45,280964.32
1.45,122317.19
1.45,178024.63
1.45,270564.89
1.45,287888.01
112.8,189115.7
112.8,180836.6
112.8,173629.73
112.8,131371.19
112.8,164906.94
112.8,49287.15
112.8,118145.45
112.8,112120.56
112.8,123295.44
112.8,143149.0
112.8,121123.42
112.8,80831.51
112.8,247848.33
112.8,116576.09
112.8,95218.26
112.8,263852.69
112.8,234274.53
112.8,254111.34
112.8,264794.97
5750.37,116824.46
5750.37,113503.78
5750.37,255375.33
5750.37,149867.1
5750.37,14605.47
5750.37,181716.42
5750.37,164818.91
5750.37,309040.93
5750.37,123844.09
5750.37,353865.06
5750.37,175173.03
5750.37,263914.92
5750.37,287500.27
5750.37,228754.69
5750.37,171495.11
5750.37,76066.44
2252.59,105008.23
2252.59,245575.42
2252.59,213300.13
2252.59,172823.81
2252.59,121586.16
2252.59,121143.63
2252.59,158374.47
2252.59,35370.81
2252.59,274242.68
2252.59,155629.36
2252.59,276148.66
2252.59,244941.33
8269.0,91832.04
8269.0,230745.2
8269.0,333493.64
8269.0,19924.57
8269.0,132529.33
8269.0,42692.28
8269.0,191523.21
8269.0,76148.96
8269.0,124730.59
8269.0,208056.32
8269.0,195139.07
8269.0,11939.67
8269.0,314785.24
8269.0,147518.23
3514.34,60340.85
3514.34,110791.34
3514.34,239009.77
3514.34,310425.89
3514.34,274193.63
3514.34,278451.62
3514.34,132739.39
3514.34,84654.38
3514.34,79579.27
3514.34,132827.29
3514.34,310175.93
3514.34,352357.04
3514.34,169165.43
3514.34,111779.11
3514.34,117464.05
2140.41,68600.28
2140.41,260761.04
2140.41,93563.08
2140.41,109125.41
2140.41,117329.32
2140.41,131804.28
